id,competition_id,team_id,team_seed,league_position,matches_played,wins,draws,losses,points_for,points_against,joined_at,created_at,updated_at
62a1b74b-a90a-562c-bd1b-8def974a1d52,006d47f1-ddf5-5864-8de8-6647c085b591,2af739f8-6b01-5ad3-bea5-8e8a50d09b97,,7,12,0,1,11,31,99,,2026-06-18T16:06:38.719Z,2026-06-18T16:06:38.719Z
83790dcb-03b0-56a3-8f72-17f49ca4c194,006d47f1-ddf5-5864-8de8-6647c085b591,6ffeb3c2-1736-5e8f-87e2-289875b3dde6,,2,12,9,1,2,91,48,,2026-06-18T16:06:38.719Z,2026-06-18T16:06:38.719Z
502d4888-341f-5fe4-bfa2-4b1aa0830950,006d47f1-ddf5-5864-8de8-6647c085b591,7496ba00-fe01-5436-852f-3e533e492017,,3,12,7,0,5,54,52,,2026-06-18T16:06:38.719Z,2026-06-18T16:06:38.719Z
3553e777-1df4-597b-a381-4c8437e32286,006d47f1-ddf5-5864-8de8-6647c085b591,a1502f9d-848c-5e20-8cd8-d6d6875f08fa,,1,12,12,0,0,103,27,,2026-06-18T16:06:38.719Z,2026-06-18T16:06:38.719Z
8b3bab4d-6eb6-52d2-be72-900911434ce9,006d47f1-ddf5-5864-8de8-6647c085b591,aa993574-5462-5be4-b6de-e4b192397ea3,,4,12,6,0,6,61,66,,2026-06-18T16:06:38.719Z,2026-06-18T16:06:38.719Z
ed5771b4-cf0f-5da7-862a-3e5477a4e33a,006d47f1-ddf5-5864-8de8-6647c085b591,c17f575c-7d19-5ed5-8480-075105eb51c3,,5,12,3,1,8,51,63,,2026-06-18T16:06:38.719Z,2026-06-18T16:06:38.719Z
505ef2e0-d785-55c0-a7e4-799f84e1966b,006d47f1-ddf5-5864-8de8-6647c085b591,d7c3bcd0-f935-5cf3-ad91-3df2bc91c793,,6,12,3,1,8,34,70,,2026-06-18T16:06:38.719Z,2026-06-18T16:06:38.719Z
27cb05e5-33e9-56da-9078-fe8f7e2a77a0,0095996c-49ed-5327-b06d-c238751504a0,2fc53385-fe71-55ee-a184-2267d95d354e,,1,4,4,0,0,30,5,,2026-06-18T16:06:37.909Z,2026-06-18T16:06:37.909Z
58183e44-c520-5ada-9681-a8a067ec7a35,0095996c-49ed-5327-b06d-c238751504a0,5400508e-c465-52a7-b214-e8e31751a1eb,,3,4,0,0,4,2,23,,2026-06-18T16:06:37.909Z,2026-06-18T16:06:37.909Z
f7eea207-a341-587f-8138-0d015bfab8cc,0095996c-49ed-5327-b06d-c238751504a0,76764160-7c06-5a3e-95fb-c8b45ff8e4aa,,2,4,2,0,2,11,15,,2026-06-18T16:06:37.909Z,2026-06-18T16:06:37.909Z
c2b19b78-b4ae-5e56-8e33-cbb44b0e05db,00b59705-48a2-5761-a534-aa106a95470b,2b2ba69d-d973-586d-a753-3b50128a2f5d,,5,8,0,0,8,15,62,,2026-06-18T16:06:37.909Z,2026-06-18T16:06:37.909Z
a3a9abce-df1d-5aa4-859b-ead201b55fc4,00b59705-48a2-5761-a534-aa106a95470b,5a779a13-3f6c-5f63-b57d-9693a226cd87,,3,8,4,0,4,31,43,,2026-06-18T16:06:37.909Z,2026-06-18T16:06:37.909Z
94125e3a-c200-58cf-a059-59807ce7d30c,00b59705-48a2-5761-a534-aa106a95470b,c3e08d92-e399-5a67-bbcc-92050578b132,,4,8,3,0,5,39,48,,2026-06-18T16:06:37.909Z,2026-06-18T16:06:37.909Z
1fb67c7f-748a-5bd6-b53a-8a8003e4eabd,00b59705-48a2-5761-a534-aa106a95470b,f316254d-618c-5438-be7a-455cae9a5096,,1,8,8,0,0,70,9,,2026-06-18T16:06:37.909Z,2026-06-18T16:06:37.909Z
ba874ca4-42f9-5ca9-99d7-c7ec1b086176,00b59705-48a2-5761-a534-aa106a95470b,fb6d6231-0786-5a97-b1b6-930b14bff592,,2,8,5,0,3,30,23,,2026-06-18T16:06:37.909Z,2026-06-18T16:06:37.909Z
6757788a-1c63-5062-8696-e60cc75b5ca5,010e7823-117f-520d-8977-fd97976b2cb5,1a3f254c-db84-5017-9a3e-3a1202c7ea6e,,3,6,1,1,4,9,19,,2026-06-18T16:06:38.719Z,2026-06-18T16:06:38.719Z
